Scenario,Instance,LP Bound,Heuristic,Naive,Time LP (s),Time Heur (s),Time Naive (s),Gap Heur (%),Gap Naive (%)
3,15,12933554843.3372,,13519284447.3419,0.7822,,0.0003,,4.5288
3,16,13462278550.9351,,14061901618.3065,0.7665,,0.0003,,4.4541
3,17,12904952987.2773,,13499295699.3158,0.7597,,0.0003,,4.6055
3,18,12640275529.7595,,13212890257.9510,0.7519,,0.0003,,4.5301
3,19,12907147401.0269,,13524335496.8019,0.7872,,0.0003,,4.7818
3,20,12822619136.2568,,13429171112.2357,0.7822,,0.0003,,4.7303
3,21,12664373399.1981,,13255395904.3686,0.7916,,0.0003,,4.6668
3,22,13496813661.5968,,14107583126.1136,0.7867,,0.0003,,4.5253
3,23,13167955720.9051,,13775237967.9779,0.7931,,0.0003,,4.6118
3,24,12870105354.0969,,13454262813.5357,0.7916,,0.0003,,4.5389
3,25,13409114862.0285,,14023385260.1854,0.7859,,0.0003,,4.5810
3,26,13076137403.9678,,13674170958.4679,0.7749,,0.0003,,4.5735
3,27,13530459400.5972,,14165506683.4993,0.7769,,0.0003,,4.6935
3,28,13311249257.8232,,13916764527.6452,0.7677,,0.0003,,4.5489
3,29,12846930161.1831,,13417929228.1668,0.8014,,0.0003,,4.4446
3,30,12822031660.0964,,13403851171.9735,0.8472,,0.0003,,4.5377
4,1,927015482.7338,,1021763016.5505,0.0619,,0.0001,,10.2207
4,2,970874679.2575,,1073035388.6442,0.0600,,0.0001,,10.5225
4,3,948994591.6807,,1049282214.6062,0.0605,,0.0001,,10.5678
4,4,953362443.7616,,1045683591.6990,0.0612,,0.0001,,9.6837
4,5,970776195.6068,,1075384015.3049,0.0596,,0.0001,,10.7757
4,6,936682670.6476,,1038031535.2150,0.0591,,0.0001,,10.8200
4,7,879374311.2430,,977436290.9114,0.0589,,0.0001,,11.1513
4,8,917099999.3180,,1017951834.2455,0.0591,,0.0001,,10.9968
4,9,993260149.7457,,1097745193.2148,0.0592,,0.0001,,10.5194
4,10,992018695.8219,,1099524861.1375,0.0592,,0.0001,,10.8371
4,11,950240206.7838,,1043727978.8396,0.0592,,0.0001,,9.8383
4,12,976854031.4940,,1072462893.1918,0.0594,,0.0001,,9.7874
4,13,963406647.4587,,1069033949.4337,0.0595,,0.0001,,10.9639
4,14,1017824182.6659,,1114563894.4173,0.0594,,0.0001,,9.5046
4,15,934493029.3523,,1030418960.5974,0.0595,,0.0001,,10.2650
4,16,941508404.7054,,1046125145.4481,0.0655,,0.0001,,11.1116
4,17,836256366.1812,,940834638.2485,0.0592,,0.0001,,12.5055
4,18,943802107.4013,,1041093358.7395,0.0594,,0.0001,,10.3084
4,19,978954326.5095,,1085123246.9076,0.0590,,0.0001,,10.8451
4,20,986945607.8027,,1088412651.3104,0.0594,,0.0001,,10.2809
4,21,956962659.4228,,1058356108.9223,0.0600,,0.0001,,10.5953
4,22,933511043.0172,,1039496332.1404,0.0598,,0.0001,,11.3534
4,23,872158434.3880,,972642889.2833,0.0596,,0.0001,,11.5214
4,24,982245030.0482,,1096179760.6085,0.0600,,0.0001,,11.5994
4,25,949141244.8997,,1049420779.1461,0.0597,,0.0001,,10.5653
4,26,975773302.7707,,1079540474.2364,0.0598,,0.0001,,10.6344
4,27,970665940.5193,,1071271704.3501,0.0598,,0.0001,,10.3646
