Scenario,Instance,LP Bound,Naive,Heuristic,Time LP (s),Time Naive (s),Time Heur (s),Gap Naive (%),Gap Heur (%)
2,9,15166977.1170,23547730.6142,15471216.1706,0.0021,0.0000,0.0001,55.2566,2.0059
2,10,28646669.8909,35069345.4853,29258813.9632,0.0020,0.0000,0.0001,22.4203,2.1369
2,11,20552875.7973,30399026.9644,20975988.0543,0.0019,0.0000,0.0000,47.9064,2.0587
2,12,20169055.5090,28679862.9137,20580618.4541,0.0019,0.0000,0.0000,42.1974,2.0406
2,13,18229904.0108,31284896.7340,18600619.3821,0.0019,0.0000,0.0000,71.6131,2.0336
2,14,13212282.8906,17912486.5130,13502295.2534,0.0019,0.0000,0.0001,35.5745,2.1950
2,15,21230328.4494,31587128.1745,21671425.9495,0.0019,0.0000,0.0001,48.7830,2.0777
2,16,19943749.2333,29016516.3447,20357455.6782,0.0019,0.0000,0.0000,45.4918,2.0744
2,17,24466044.8487,30404650.6045,24995187.5614,0.0020,0.0000,0.0000,24.2728,2.1628
2,18,21078837.6714,31094422.5089,21525600.3906,0.0020,0.0000,0.0001,47.5149,2.1195
2,19,17486051.6284,22138715.5033,17862703.8073,0.0021,0.0000,0.0000,26.6079,2.1540
2,20,23981217.4555,32584235.4242,24477995.7835,0.0019,0.0000,0.0001,35.8740,2.0715
2,21,24945242.2801,33325858.6945,25476011.3940,0.0020,0.0000,0.0001,33.5961,2.1277
2,22,16224255.0121,25928629.8496,16553473.9047,0.0019,0.0000,0.0000,59.8140,2.0292
2,23,15762631.6429,23423700.7525,16095949.1483,0.0020,0.0000,0.0000,48.6027,2.1146
2,24,20672479.6415,30197433.3846,21099672.9779,0.0020,0.0000,0.0001,46.0755,2.0665
2,25,22410261.8748,27535165.3045,22882835.3659,0.0020,0.0000,0.0000,22.8686,2.1087
2,26,15842824.6951,22285265.4595,16169528.1940,0.0020,0.0000,0.0001,40.6647,2.0622
2,27,27241961.0382,34750469.3632,27815292.3738,0.0020,0.0000,0.0001,27.5623,2.1046
2,28,21013580.8943,35496120.1645,21440173.5491,0.0020,0.0000,0.0001,68.9199,2.0301
2,29,13394086.0135,20814604.4733,13671589.0942,0.0021,0.0000,0.0001,55.4015,2.0718
2,30,21918872.4953,30697248.9376,22386786.4400,0.0020,0.0000,0.0001,40.0494,2.1348
3,1,13193788875.3418,13771927865.3296,13458104612.5687,0.7721,0.0002,0.0138,4.3819,2.0033
3,2,13133431196.0121,13713765102.5324,13396493091.0839,0.7783,0.0003,0.0138,4.4188,2.0030
3,3,13221067183.6142,13817213051.9484,13485929312.4714,0.7816,0.0003,0.0139,4.5091,2.0033
3,4,12362806445.7405,12905525674.1218,12610586872.7464,0.7725,0.0003,0.0138,4.3899,2.0042
3,5,12705205586.0215,13291476095.7674,12959716613.2370,0.7782,0.0003,0.0147,4.6144,2.0032
3,6,13321259440.8210,13916158339.3899,13588084191.2465,0.7856,0.0003,0.0140,4.4658,2.0030
3,7,12942965793.0353,13530246295.3282,13202217508.4548,0.9162,0.0003,0.0140,4.5374,2.0030
3,8,13010337424.0478,13596322176.2265,13270947055.8810,0.8577,0.0003,0.0141,4.5040,2.0031
3,9,12603979731.5758,13181940664.3538,12856433507.3997,0.8063,0.0003,0.0152,4.5855,2.0030
3,10,12644577028.8353,13233477555.8640,12897853663.9999,0.8573,0.0004,0.0142,4.6573,2.0030
3,11,12916406286.1549,13528057853.8801,13175047113.9079,0.8272,0.0003,0.0142,4.7355,2.0024
3,12,12875496567.7580,13463258675.5515,13133326279.3771,0.7937,0.0003,0.0147,4.5650,2.0025
3,13,12934666081.2331,13562335673.9445,13193595447.8319,0.7885,0.0003,0.0147,4.8526,2.0018
3,14,13431835420.8327,14009069471.9191,13700897422.0951,0.7777,0.0003,0.0141,4.2975,2.0032
3,15,12933554843.3372,13519284447.3419,13192569143.3440,0.8023,0.0003,0.0141,4.5288,2.0027
3,16,13462278550.9351,14061901618.3065,13732062656.5387,0.8042,0.0003,0.0139,4.4541,2.0040
3,17,12904952987.2773,13499295699.3158,13163406102.8825,0.7993,0.0003,0.0142,4.6055,2.0027
3,18,12640275529.7595,13212890257.9510,12893486222.0910,0.7997,0.0003,0.0149,4.5301,2.0032
3,19,12907147401.0269,13524335496.8019,13165553659.2643,0.8030,0.0003,0.0149,4.7818,2.0020
3,20,12822619136.2568,13429171112.2357,13079364239.7248,0.8226,0.0003,0.0143,4.7303,2.0023
3,21,12664373399.1981,13255395904.3686,12918070854.6936,0.7919,0.0003,0.0146,4.6668,2.0032
3,22,13496813661.5968,14107583126.1136,13767068417.0954,0.8011,0.0003,0.0148,4.5253,2.0024
3,23,13167955720.9051,13775237967.9779,13431710787.9574,0.8078,0.0003,0.0143,4.6118,2.0030
3,24,12870105354.0969,13454262813.5357,13127886157.7379,0.8177,0.0003,0.0145,4.5389,2.0029
3,25,13409114862.0285,14023385260.1854,13677671104.1949,0.8005,0.0003,0.0140,4.5810,2.0028
3,26,13076137403.9678,13674170958.4679,13337988970.8138,0.9887,0.0003,0.0141,4.5735,2.0025
3,27,13530459400.5972,14165506683.4993,13801241142.8357,0.8949,0.0003,0.0158,4.6935,2.0013
3,28,13311249257.8232,13916764527.6452,13577825689.9703,0.7744,0.0003,0.0146,4.5489,2.0026
3,29,12846930161.1831,13417929228.1668,13104228603.0766,0.7873,0.0003,0.0140,4.4446,2.0028
3,30,12822031660.0964,13403851171.9735,13078921609.4244,0.7655,0.0003,0.0140,4.5377,2.0035
4,1,927015482.7338,1021763016.5505,945659121.6380,0.0601,0.0001,0.0010,10.2207,2.0111
4,2,970874679.2575,1073035388.6442,990443409.3186,0.0596,0.0001,0.0010,10.5225,2.0156
4,3,948994591.6807,1049282214.6062,968163176.1024,0.0588,0.0001,0.0010,10.5678,2.0199
4,4,953362443.7616,1045683591.6990,972608403.0979,0.0589,0.0001,0.0010,9.6837,2.0187
4,5,970776195.6068,1075384015.3049,990349905.5845,0.0815,0.0001,0.0010,10.7757,2.0163
4,6,936682670.6476,1038031535.2150,955571898.9162,0.0716,0.0001,0.0010,10.8200,2.0166
4,7,879374311.2430,977436290.9114,897091204.9979,0.0709,0.0001,0.0010,11.1513,2.0147
4,8,917099999.3180,1017951834.2455,935563225.1769,0.0659,0.0001,0.0011,10.9968,2.0132
4,9,993260149.7457,1097745193.2148,1013195581.9311,0.0592,0.0001,0.0010,10.5194,2.0071
4,10,992018695.8219,1099524861.1375,1011995886.5829,0.0722,0.0001,0.0010,10.8371,2.0138
4,11,950240206.7838,1043727978.8396,969397267.2019,0.0711,0.0001,0.0016,9.8383,2.0160
4,12,976854031.4940,1072462893.1918,996522305.3305,0.0602,0.0001,0.0010,9.7874,2.0134
4,13,963406647.4587,1069033949.4337,982811277.4875,0.0610,0.0001,0.0010,10.9639,2.0142
4,14,1017824182.6659,1114563894.4173,1038321382.3558,0.0603,0.0001,0.0011,9.5046,2.0138
4,15,934493029.3523,1030418960.5974,953304048.6016,0.0593,0.0001,0.0010,10.2650,2.0130
4,16,941508404.7054,1046125145.4481,960484324.5253,0.0647,0.0001,0.0010,11.1116,2.0155
4,17,836256366.1812,940834638.2485,853103014.0853,0.0591,0.0001,0.0010,12.5055,2.0145
4,18,943802107.4013,1041093358.7395,962809780.5249,0.0936,0.0001,0.0010,10.3084,2.0139
4,19,978954326.5095,1085123246.9076,998673833.9747,0.0694,0.0001,0.0011,10.8451,2.0143
4,20,986945607.8027,1088412651.3104,1006820083.3268,0.0708,0.0001,0.0011,10.2809,2.0137
4,21,956962659.4228,1058356108.9223,976243451.0158,0.0745,0.0001,0.0010,10.5953,2.0148
4,22,933511043.0172,1039496332.1404,952286796.7502,0.0753,0.0001,0.0011,11.3534,2.0113
4,23,872158434.3880,972642889.2833,889672371.3907,0.0734,0.0003,0.0032,11.5214,2.0081
4,24,982245030.0482,1096179760.6085,1002004595.8442,0.0629,0.0001,0.0011,11.5994,2.0117
4,25,949141244.8997,1049420779.1461,968280272.6583,0.0629,0.0001,0.0010,10.5653,2.0165
4,26,975773302.7707,1079540474.2364,995444957.6368,0.0653,0.0001,0.0010,10.6344,2.0160
4,27,970665940.5193,1071271704.3501,990264220.6066,0.0619,0.0001,0.0010,10.3646,2.0191
4,28,937912354.8095,1050707149.5547,956766116.8459,0.0677,0.0001,0.0012,12.0262,2.0102
4,29,872026970.2157,962578109.9067,889614483.8983,0.0631,0.0001,0.0033,10.3840,2.0169
4,30,1001199079.1088,1097184679.7253,1021392330.1363,0.0636,0.0001,0.0011,9.5871,2.0169
5,1,964304114.5678,1064734410.9556,983648932.1181,0.0630,0.0001,0.0010,10.4148,2.0061
5,2,922098124.4641,1022434693.8533,940612427.9349,0.0601,0.0001,0.0010,10.8813,2.0078
5,3,1024009872.3334,1123170279.3778,1044566836.5473,0.0597,0.0001,0.0010,9.6835,2.0075
5,4,894991587.7635,989560052.9322,912980899.2254,0.0601,0.0001,0.0010,10.5664,2.0100
5,5,943072726.8309,1043693159.0233,961985958.9866,0.0630,0.0001,0.0010,10.6694,2.0055
5,6,934106589.9275,1042191694.0361,952832216.0446,0.0697,0.0001,0.0010,11.5710,2.0047
5,7,877395834.9321,965106230.3136,895035782.1969,0.0646,0.0001,0.0010,9.9967,2.0105
5,8,989551385.7090,1087121406.9468,1009443724.6558,0.0719,0.0001,0.0010,9.8600,2.0102
5,9,918810381.0740,1021406357.0630,937249528.7112,0.0610,0.0001,0.0011,11.1662,2.0069
5,10,992495125.4861,1102273115.8675,1012421766.7182,0.0629,0.0001,0.0010,11.0608,2.0077
5,11,942828902.5024,1041855340.6186,961737817.7159,0.0606,0.0001,0.0011,10.5031,2.0056
5,12,965360732.4894,1068369784.8439,984747666.3293,0.0601,0.0001,0.0010,10.6705,2.0083
5,13,908963005.3796,1000218596.6229,927195770.0465,0.0601,0.0001,0.0010,10.0395,2.0059
5,14,1026716610.8598,1125602209.0656,1047326093.5438,0.0620,0.0001,0.0011,9.6312,2.0073
5,15,903624555.2608,998692342.5882,921743563.7770,0.0591,0.0001,0.0010,10.5207,2.0051
5,16,905093958.1938,998597446.1608,923271381.9739,0.0594,0.0001,0.0010,10.3308,2.0083
5,17,880083831.8289,976648216.2100,897705956.5168,0.0592,0.0001,0.0010,10.9722,2.0023
5,18,1010821884.2699,1110062927.3458,1031118656.3935,0.0596,0.0001,0.0010,9.8179,2.0079
5,19,1055607542.1703,1156304603.2202,1076734114.9750,0.0603,0.0001,0.0010,9.5393,2.0014
5,20,946850920.9750,1041379618.6640,965884616.4257,0.0598,0.0001,0.0010,9.9835,2.0102
5,21,1019870531.2529,1125856576.0792,1040340248.3639,0.0600,0.0001,0.0010,10.3921,2.0071
5,22,1016173585.9449,1117435235.7539,1036537243.6762,0.0595,0.0001,0.0010,9.9650,2.0040
5,23,1011752865.4427,1110804083.8825,1032088530.9534,0.0597,0.0001,0.0010,9.7901,2.0099
5,24,933501399.3690,1038575873.7869,952217730.2401,0.0602,0.0001,0.0010,11.2560,2.0050
5,25,952112124.3101,1052585095.0268,971236259.8420,0.0597,0.0001,0.0010,10.5526,2.0086
5,26,941748951.1560,1038432639.3519,960635222.8723,0.0599,0.0001,0.0010,10.2664,2.0054
5,27,867186483.3478,947536443.8454,884643337.4534,0.0593,0.0001,0.0010,9.2656,2.0130
5,28,956868472.8161,1054190255.9331,976049451.0505,0.0598,0.0001,0.0010,10.1709,2.0046
5,29,1025836478.6457,1130131498.0739,1046429571.1416,0.0615,0.0001,0.0010,10.1668,2.0074
5,30,896584948.5563,997213203.7861,914530275.3666,0.0673,0.0001,0.0010,11.2235,2.0015
6,1,970067701.1331,1072709005.3836,979968341.4615,0.0608,0.0001,0.0010,10.5808,1.0206
6,2,990859825.4821,1091320148.3386,1000980017.0784,0.0608,0.0001,0.0010,10.1387,1.0214
6,3,932574849.7275,1032880367.4433,942032987.1318,0.0603,0.0001,0.0010,10.7558,1.0142
6,4,1014705367.8699,1123275711.9441,1025028626.5187,0.0597,0.0001,0.0010,10.6997,1.0174
6,5,900107119.1554,993696016.6813,909298477.8126,0.0593,0.0001,0.0010,10.3975,1.0211
