Scenario ID,Instance ID,LP Relaxation,Naive Heuristic,Time LP,Time Naive,Gap Naive (%)
4,28,17521144.1188,46109801.3944,0.0024,0.0000,163.1666
4,29,8718682.8517,25330079.1974,0.0023,0.0000,190.5264
4,3,10545606.3167,35430340.9715,0.0023,0.0000,235.9725
4,30,12529901.5233,43627272.8248,0.0024,0.0000,248.1853
4,4,6395949.0287,28737613.9535,0.0024,0.0000,349.3096
4,5,7328753.0257,28701987.7385,0.0026,0.0000,291.6354
4,6,13989982.3817,38894484.1278,0.0023,0.0000,178.0167
4,7,11458373.9586,36834528.4965,0.0024,0.0000,221.4638
4,8,7577283.5600,37676201.4295,0.0024,0.0000,397.2257
4,9,8546681.1323,27713137.7574,0.0025,0.0000,224.2561
5,1,7411609.7324,35508938.8936,0.0024,0.0000,379.0989
5,10,14801257.8912,40835108.5598,0.0025,0.0000,175.8894
5,11,12261981.2533,32937679.8267,0.0023,0.0000,168.6163
5,12,11554510.1020,26773088.7929,0.0024,0.0000,131.7112
5,13,9536986.4047,36088046.9945,0.0023,0.0000,278.4009
5,14,11783497.2040,38297042.8603,0.0024,0.0000,225.0057
5,15,7626603.2940,29898426.1036,0.0025,0.0000,292.0281
5,16,9655923.2184,29530770.5238,0.0025,0.0000,205.8306
5,17,17470526.6057,39956557.7262,0.0025,0.0000,128.7084
5,18,8931233.8351,31582440.1721,0.0023,0.0000,253.6179
5,19,11114175.2971,26797124.3367,0.0024,0.0000,141.1076
5,2,8784534.3813,30622089.6027,0.0024,0.0000,248.5909
5,20,13362657.9316,32365423.8014,0.0026,0.0000,142.2080
5,21,9341058.0308,29291717.6801,0.0023,0.0000,213.5803
5,22,16060406.3633,39172959.7785,0.0023,0.0000,143.9101
5,23,9968250.6885,33002571.4874,0.0025,0.0000,231.0769
5,24,16535226.7420,40526495.3559,0.0023,0.0000,145.0919
5,25,10844247.3307,28892591.8891,0.0024,0.0000,166.4324
5,26,13768696.7066,33196665.8648,0.0024,0.0000,141.1025
5,27,11564043.7581,29336127.0233,0.0026,0.0000,153.6840
5,28,13234112.0750,40844756.2730,0.0023,0.0000,208.6324
5,29,11416197.7313,40493449.7807,0.0023,0.0000,254.7017
5,3,10279900.1407,34990918.3577,0.0023,0.0000,240.3819
5,30,4946121.2226,32703863.8682,0.0023,0.0000,561.2022
5,4,8539909.4900,33309840.5774,0.0024,0.0000,290.0491
5,5,6500390.0702,30428293.8591,0.0024,0.0000,368.0995
5,6,7760342.8468,45052534.3045,0.0023,0.0000,480.5482
5,7,7901173.2222,33447434.8864,0.0023,0.0000,323.3224
5,8,8239182.4632,25451455.3507,0.0023,0.0000,208.9075
5,9,10160377.3765,35606072.0162,0.0024,0.0000,250.4404
6,1,10575356.2728,32752897.6842,0.0024,0.0000,209.7096
6,10,11418371.5981,31714259.6995,0.0026,0.0000,177.7477
6,11,9591831.5944,28143261.2277,0.0023,0.0000,193.4086
6,12,11899960.1906,25407489.8417,0.0024,0.0000,113.5090
6,13,10524171.2084,30600838.2122,0.0023,0.0000,190.7672
6,14,13452721.7174,27229804.4395,0.0025,0.0000,102.4111
6,15,11717145.4080,32790487.5863,0.0023,0.0000,179.8505
6,16,3694886.4541,22560627.2322,0.0023,0.0000,510.5905
6,17,6321436.0132,29110767.0253,0.0023,0.0000,360.5088
6,18,11473764.3443,30263279.4143,0.0023,0.0000,163.7607
6,19,8127542.5169,30714387.2257,0.0023,0.0000,277.9050
6,2,23029081.5048,41415342.5366,0.0025,0.0000,79.8393
6,20,15930815.3627,32368432.7343,0.0023,0.0000,103.1813
6,21,9145326.8814,31241227.3719,0.0026,0.0000,241.6086
6,22,8696315.6102,34405756.8796,0.0024,0.0000,295.6360
6,23,6354481.8172,36218349.1684,0.0023,0.0000,469.9654
6,24,8981451.3716,38592454.5567,0.0023,0.0000,329.6906
6,25,13996265.8098,35051969.8171,0.0025,0.0000,150.4380
6,26,8952366.6707,33735077.3685,0.0023,0.0000,276.8286
6,27,15529295.2802,36786383.6428,0.0024,0.0000,136.8838
6,28,10574647.8450,33801745.1601,0.0024,0.0000,219.6489
6,29,10688880.0053,31674721.6162,0.0023,0.0000,196.3334
6,3,7784008.1015,39557345.9590,0.0023,0.0000,408.1874
6,30,5404721.8633,35852666.3374,0.0024,0.0000,563.3582
6,4,10085198.3686,40037832.2129,0.0024,0.0000,296.9960
6,5,14885748.5929,39217168.5586,0.0025,0.0000,163.4545
6,6,8462587.2790,28937562.7692,0.0023,0.0000,241.9470
6,7,13071475.7998,29802832.8500,0.0024,0.0000,127.9990
6,8,8927304.2085,27801335.5243,0.0023,0.0000,211.4192
6,9,10759123.5742,31923239.6245,0.0024,0.0000,196.7086
7,1,21366471.5294,34171217.5571,0.0024,0.0000,59.9292
7,10,12056576.8318,30038618.1534,0.0024,0.0000,149.1472
7,11,18823430.4882,34963489.7332,0.0024,0.0000,85.7445
7,12,11642395.3970,35325956.2708,0.0023,0.0000,203.4252
7,13,10516958.0831,24545424.6195,0.0025,0.0000,133.3890
7,14,10644465.7209,30140069.8962,0.0024,0.0000,183.1525
7,15,13144328.4468,31181226.5855,0.0025,0.0000,137.2219
7,16,15094977.1574,30309995.3886,0.0024,0.0000,100.7952
7,17,11713994.8464,29157114.5399,0.0024,0.0000,148.9084
7,18,15550708.7048,36276615.9426,0.0023,0.0000,133.2795
7,19,12870457.9656,27973593.9178,0.0026,0.0000,117.3473
7,2,24279619.0912,36712245.9656,0.0024,0.0000,51.2060
7,20,12625232.7778,28594559.0565,0.0025,0.0000,126.4874
7,21,12961902.3925,30408808.6876,0.0024,0.0000,134.6014
7,22,11187268.2580,32340189.5979,0.0023,0.0000,189.0803
7,23,18474381.8805,39461096.6827,0.0024,0.0000,113.5990
7,24,18842775.9874,38220852.5542,0.0025,0.0000,102.8409
7,25,14299277.9371,25970948.7317,0.0023,0.0000,81.6242
7,26,15986252.1705,29888309.5721,0.0024,0.0000,86.9626
7,27,16444881.0429,35449516.5639,0.0026,0.0000,115.5657
7,28,13232518.8350,29508227.6339,0.0024,0.0000,122.9978
7,29,23162242.5177,35583326.6411,0.0026,0.0000,53.6264
7,3,20670374.5660,45389591.8309,0.0023,0.0000,119.5877
7,30,15719720.9013,38243935.3318,0.0024,0.0000,143.2864
7,4,16543671.9340,40545883.2564,0.0023,0.0000,145.0839
7,5,18620373.9246,38296386.9040,0.0024,0.0000,105.6693
7,6,10634989.5743,33487775.2054,0.0024,0.0000,214.8830
7,7,12996840.8569,33488566.9836,0.0026,0.0000,157.6670
7,8,15861941.4125,32770456.0606,0.0025,0.0000,106.5980
7,9,14099141.2644,32217358.9639,0.0025,0.0000,128.5058
