Scenario ID,Instance ID,LP Relaxation,Proposed Algorithm,Naive Heuristic,LP Time,Proposed Time,Naive Time,Proposed Gap (%),Naive Gap (%)
7,5,8330790.9268,8469457.0000,8536433.0000,0.0012,0.0001,0.0000,1.6645,2.4685
7,6,8264711.4534,8407993.0000,8477673.0000,0.0023,0.0001,0.0000,1.7337,2.5768
7,7,8769892.2928,8950111.0000,9024016.0000,0.0013,0.0001,0.0000,2.0550,2.8977
7,8,9424486.1531,9645200.0000,9722485.0000,0.0012,0.0001,0.0000,2.3419,3.1620
7,9,8387405.4860,8522033.0000,8586981.0000,0.0012,0.0001,0.0000,1.6051,2.3795
7,10,8423935.1010,8555101.0000,8618190.0000,0.0012,0.0001,0.0000,1.5571,2.3060
7,11,8304243.6572,8444929.0000,8513088.0000,0.0013,0.0001,0.0000,1.6941,2.5149
7,12,8353613.2722,8490837.0000,8557137.0000,0.0011,0.0001,0.0000,1.6427,2.4364
7,13,8483569.4181,8611013.0000,8670065.0000,0.0011,0.0001,0.0000,1.5022,2.1983
7,14,8284873.7888,8426713.0000,8495548.0000,0.0015,0.0001,0.0000,1.7120,2.5429
7,15,8319091.2608,8468976.0000,8539839.0000,0.0011,0.0001,0.0000,1.8017,2.6535
7,16,8373375.1754,8528264.0000,8599972.0000,0.0012,0.0001,0.0000,1.8498,2.7062
7,17,8338060.8051,8475573.0000,8542042.0000,0.0011,0.0001,0.0000,1.6492,2.4464
7,18,9012326.9311,9207272.0000,9282529.0000,0.0012,0.0001,0.0000,2.1631,2.9981
7,19,8357718.2064,8494365.0000,8560327.0000,0.0012,0.0001,0.0000,1.6350,2.4242
7,20,8324978.4697,8463933.0000,8531247.0000,0.0011,0.0001,0.0000,1.6691,2.4777
7,21,9232271.8202,9441056.0000,9517327.0000,0.0013,0.0001,0.0000,2.2615,3.0876
7,22,9030124.1832,9226245.0000,9301502.0000,0.0014,0.0001,0.0000,2.1719,3.0053
7,23,8738025.3016,8916181.0000,8989917.0000,0.0012,0.0001,0.0000,2.0389,2.8827
7,24,8446534.5431,8576773.0000,8639115.0000,0.0012,0.0001,0.0000,1.5419,2.2800
7,25,8272368.8546,8414785.0000,8483958.0000,0.0012,0.0001,0.0000,1.7216,2.5578
7,26,8392855.3543,8526329.0000,8590601.0000,0.0012,0.0001,0.0000,1.5903,2.3561
7,27,9346380.6998,9562238.0000,9639185.0000,0.0012,0.0001,0.0000,2.3095,3.1328
7,28,9422326.1531,9643040.0000,9720325.0000,0.0012,0.0001,0.0000,2.3425,3.1627
7,29,9364777.9519,9581811.0000,9658758.0000,0.0014,0.0001,0.0000,2.3175,3.1392
7,30,8476169.4633,8637981.0000,8710365.0000,0.0013,0.0001,0.0000,1.9090,2.7630
